ENSMUSG00000102331	chr1	3717532	3729127
ENSMUSG00000102343	chr1	3975962	4056438
ENSMUSG00000025900	chr1	4069780	4479506
ENSMUSG00000025902	chr1	4561151	4567784
ENSMUSG00000033845	chr1	4843429	4855972
ENSMUSG00000025903	chr1	4877884	4925598
ENSMUSG00000033813	chr1	4927691	4970151
ENSMUSG00000033793	chr1	5089010	5234940
ENSMUSG00000025905	chr1	5658667	5676375
ENSMUSG00000033774	chr1	5983926	5987617
ENSMUSG00000025907	chr1	6276421	6377444
ENSMUSG00000033740	chr1	6557455	6931164
ENSMUSG00000097797	chr1	7384854	7468544
ENSMUSG00000103067	chr1	7568192	7588373
ENSMUSG00000025909	chr1	8429960	9370103
ENSMUSG00000025911	chr1	9618173	9651272
ENSMUSG00000099827	chr1	9709480	9710807
ENSMUSG00000025912	chr1	9737632	9770628
ENSMUSG00000097893	chr1	9817072	9862153
ENSMUSG00000025915	chr1	9868021	9971075
ENSMUSG00000098234	chr1	9926809	10014504
ENSMUSG00000099032	chr1	10030376	10038157
ENSMUSG00000025916	chr1	10038849	10079391
ENSMUSG00000025917	chr1	10094826	10108393
ENSMUSG00000056763	chr1	10108194	10207000
ENSMUSG00000101314	chr1	12740548	12747658
ENSMUSG00000016918	chr1	12762501	12931416
ENSMUSG00000025938	chr1	12936773	13062982
ENSMUSG00000099498	chr1	13139045	13175975
ENSMUSG00000101476	chr1	13442674	13458734
ENSMUSG00000025935	chr1	13632155	13660162
ENSMUSG00000025937	chr1	13693554	13730979
ENSMUSG00000025932	chr1	14239167	14380543
ENSMUSG00000054493	chr1	14823161	14866273
ENSMUSG00000025930	chr1	14823503	14826266
ENSMUSG00000032769	chr1	14942872	14989086
ENSMUSG00000025925	chr1	15875840	15914280
ENSMUSG00000032719	chr1	15921450	15962959
ENSMUSG00000025921	chr1	16175555	16203958
ENSMUSG00000025920	chr1	16293941	16590357
ENSMUSG00000100868	chr1	16298730	16314286
ENSMUSG00000025939	chr1	16611012	16689713
ENSMUSG00000097744	chr1	16727154	16732505
ENSMUSG00000025940	chr1	16735407	16748499
ENSMUSG00000025779	chr1	16758275	16779961
ENSMUSG00000101640	chr1	16968409	17161855
ENSMUSG00000100110	chr1	17193217	17199753
ENSMUSG00000025777	chr1	17215567	17234578
ENSMUSG00000099899	chr1	17238623	17243333
ENSMUSG00000100053	chr1	17685308	17711305
ENSMUSG00000025776	chr1	17797259	17836568
ENSMUSG00000099895	chr1	17812139	17875641
ENSMUSG00000025774	chr1	18185415	18216126
ENSMUSG00000025927	chr1	19279138	19309069
ENSMUSG00000100538	chr1	19311134	19352220
ENSMUSG00000099906	chr1	20740106	20754522
ENSMUSG00000025929	chr1	20801129	20804720
ENSMUSG00000102121	chr1	20906885	20909913
ENSMUSG00000097934	chr1	20958855	20961270
ENSMUSG00000025931	chr1	20960452	21009916
ENSMUSG00000099971	chr1	21150338	21151972
ENSMUSG00000099343	chr1	21278944	21341891
ENSMUSG00000025933	chr1	21284461	21300399
ENSMUSG00000025934	chr1	21310806	21335885
ENSMUSG00000028033	chr1	21468627	22032166
ENSMUSG00000101227	chr1	23087376	23274754
ENSMUSG00000097970	chr1	23330618	23331016
ENSMUSG00000100775	chr1	23332810	23333156
ENSMUSG00000026158	chr1	23403467	23436853
ENSMUSG00000099503	chr1	23613331	23636859
ENSMUSG00000026156	chr1	23800834	23888239
ENSMUSG00000026155	chr1	23882260	23961555
ENSMUSG00000026154	chr1	24034185	24044758
ENSMUSG00000026153	chr1	24049820	24139592
ENSMUSG00000026147	chr1	24216691	24291765
ENSMUSG00000026141	chr1	24296772	24627011
ENSMUSG00000100483	chr1	25002290	25004239
ENSMUSG00000099392	chr1	25065590	25066380
ENSMUSG00000033569	chr1	25106526	25869270
ENSMUSG00000101514	chr1	27923059	27941916
ENSMUSG00000053185	chr1	30672635	30794780
ENSMUSG00000026064	chr1	30979383	30989390
ENSMUSG00000117310	chr1	30988665	30988772
ENSMUSG00000117091	chr1	31016324	31017049
ENSMUSG00000100910	chr1	31058449	31189217
ENSMUSG00000026063	chr1	31261919	31263369
ENSMUSG00000026058	chr1	32211766	32744703
ENSMUSG00000102917	chr1	33104211	33105431
ENSMUSG00000026134	chr1	33492888	33709466
ENSMUSG00000026131	chr1	33946918	34347742
ENSMUSG00000102336	chr1	34444160	34474254
ENSMUSG00000026127	chr1	34478568	34488437
ENSMUSG00000101711	chr1	34478592	34483811
ENSMUSG00000100280	chr1	34497795	34512319
ENSMUSG00000026126	chr1	34498806	34514814
ENSMUSG00000101223	chr1	34516216	34538161
ENSMUSG00000026125	chr1	34537462	34542144
ENSMUSG00000026124	chr1	34574708	34583394
ENSMUSG00000118272	chr1	34840875	34841045
ENSMUSG00000026123	chr1	34888776	34920379
ENSMUSG00000101714	chr1	35846055	35849543
ENSMUSG00000102531	chr1	35864867	35920212
ENSMUSG00000102279	chr1	36021041	36025454
ENSMUSG00000102202	chr1	36169620	36177827
ENSMUSG00000102762	chr1	36371734	36372517
ENSMUSG00000010453	chr1	36374309	36408267
ENSMUSG00000102845	chr1	36566615	36567318
ENSMUSG00000026121	chr1	36587720	36597963
ENSMUSG00000102416	chr1	36749230	36797040
ENSMUSG00000026117	chr1	36800837	36821905
ENSMUSG00000026116	chr1	36831271	36982747
ENSMUSG00000102930	chr1	36952682	36955620
ENSMUSG00000026114	chr1	37253515	37304128
ENSMUSG00000026113	chr1	37338919	37449820
ENSMUSG00000026112	chr1	37456163	37469190
ENSMUSG00000026111	chr1	37469141	37478205
ENSMUSG00000026110	chr1	37478421	37580127
ENSMUSG00000026090	chr1	37650755	37759408
ENSMUSG00000026088	chr1	37913882	37929497
ENSMUSG00000026087	chr1	37929558	37939816
